is_high_season,day_period,minor_delay,minutes_diff
True,evening,True,3
True,evening,True,9
True,evening,True,9
True,evening,True,3
True,evening,False,1438
True,evening,False,34
True,evening,False,1435
True,evening,False,1435
True,evening,False,40
True,evening,False,69
True,evening,False,1431
True,evening,True,14
True,evening,False,1433
True,evening,False,1436
True,evening,False,1429
True,evening,False,1431
True,evening,False,1431
True,evening,False,1428
True,evening,True,15
True,evening,False,1438
True,evening,True,2
True,evening,True,8
True,evening,False,1435
True,evening,False,52
True,evening,False,1435
True,evening,False,0
True,evening,False,26
True,evening,False,1437
True,evening,False,1435
True,evening,True,2
True,evening,True,2
True,evening,False,1433
True,evening,False,1439
True,evening,True,5
True,evening,False,1436
True,evening,True,1
True,evening,False,1435
True,evening,True,3
True,evening,False,1438
True,evening,False,1436
True,evening,False,1434
True,evening,True,4
True,evening,False,1436
True,evening,False,1436
True,evening,False,1431
True,evening,False,1430
True,evening,False,0
True,evening,False,1438
True,evening,True,1
True,evening,False,1436
True,evening,True,10
True,evening,False,20
True,evening,True,11
True,evening,False,24
True,evening,False,1435
True,evening,False,1433
True,evening,True,14
True,evening,True,5
True,evening,False,0
True,evening,False,25
True,evening,True,1
True,evening,False,0
True,evening,False,1436
True,evening,True,13
True,evening,False,1437
True,evening,True,2
True,evening,False,1435
True,evening,False,0
True,evening,False,1438
True,evening,True,3
True,evening,False,1431
True,evening,True,5
True,evening,False,1437
True,evening,False,1436
True,evening,False,1430
True,evening,False,1431
True,evening,False,62
True,evening,True,2
True,evening,False,1432
True,afternoon,False,19
True,afternoon,False,60
True,afternoon,False,17
True,afternoon,False,26
True,afternoon,True,14
True,afternoon,False,67
True,afternoon,False,84
True,afternoon,False,63
True,afternoon,False,97
True,afternoon,False,17
True,afternoon,False,90
True,afternoon,False,130
True,afternoon,False,24
True,afternoon,False,77
True,afternoon,False,32
True,afternoon,False,39
True,afternoon,False,48
True,afternoon,True,6
True,afternoon,True,2
True,afternoon,False,28
True,afternoon,True,11
True,afternoon,False,33
True,afternoon,False,69
True,afternoon,False,20
True,afternoon,True,3
True,afternoon,False,22
True,afternoon,False,21
True,afternoon,False,22
True,afternoon,False,27
True,afternoon,True,6
True,evening,False,20
True,evening,False,17
True,evening,False,19
True,evening,False,47
True,evening,True,5
True,evening,False,63
True,evening,False,55
True,evening,False,53
True,evening,False,105
True,evening,False,20
True,evening,False,72
True,evening,False,26
True,evening,False,99
True,evening,False,52
True,evening,False,33
True,evening,False,147
True,evening,False,18
True,evening,False,25
True,evening,True,5
True,evening,False,21
True,evening,True,13
True,evening,False,21
True,evening,True,11
True,evening,False,1436
True,evening,False,1439
True,evening,True,8
True,evening,True,6
True,evening,False,1436
True,evening,True,6
True,afternoon,False,1436
True,afternoon,False,0
True,afternoon,True,3
True,afternoon,False,1439
True,afternoon,False,1430
True,afternoon,False,16
True,afternoon,False,1439
True,afternoon,True,1
True,afternoon,True,14
True,afternoon,True,8
True,afternoon,True,7
True,afternoon,True,7
True,afternoon,True,5
True,afternoon,False,17
True,afternoon,True,1
True,afternoon,True,12
True,afternoon,False,1437
True,afternoon,False,33
True,afternoon,True,6
True,afternoon,False,1436
True,afternoon,True,8
True,afternoon,True,7
True,afternoon,False,1439
True,afternoon,True,3
True,afternoon,False,1433
True,afternoon,True,12
True,afternoon,False,1438
True,afternoon,True,7
True,afternoon,True,14
True,afternoon,True,14
True,afternoon,False,1435
True,evening,False,1429
True,evening,True,13
True,evening,False,1438
True,evening,False,1428
True,evening,True,7
True,evening,False,1439
True,evening,True,14
True,evening,False,1433
True,evening,False,1434
True,evening,False,0
True,evening,False,1437
True,evening,False,1431
True,evening,False,1436
True,evening,False,1438
True,evening,False,1433
True,evening,False,1437
True,evening,True,1
True,evening,True,4
True,evening,False,1431
True,evening,False,138
True,evening,False,1439
True,evening,False,1427
True,evening,False,1429
True,evening,False,1429
True,evening,False,1431
True,evening,False,1433
True,evening,False,1435
True,evening,False,1439
True,evening,False,1438
True,evening,True,13
True,evening,False,1431
True,evening,False,1439
True,morning,False,1430
True,morning,True,2
True,morning,False,1438
True,morning,False,31
True,morning,False,18
True,morning,False,1427
True,morning,False,1434
True,morning,False,0
True,morning,False,20
True,morning,True,8
True,morning,True,11
True,morning,False,1432
True,morning,False,88
True,morning,False,17
True,morning,False,27
True,morning,True,2
True,morning,True,1
True,morning,False,33
True,morning,True,11
True,morning,True,2
True,morning,True,10
True,morning,False,1435
True,morning,False,1439
True,morning,False,1428
True,morning,False,1435
True,morning,False,1437
True,morning,False,1430
True,morning,True,3
True,morning,True,1
True,morning,True,1
True,morning,False,35
True,morning,False,1429
True,morning,False,1429
True,morning,False,1430
True,morning,True,6
True,morning,True,14
True,morning,False,1433
True,morning,False,1429
True,morning,False,0
True,morning,True,5
True,morning,False,18
True,morning,False,1432
True,morning,False,1439
True,morning,False,1429
True,morning,False,17
True,morning,True,15
True,morning,True,1
True,morning,False,1436
True,morning,False,30
True,morning,False,1427
True,morning,False,1436
True,morning,False,1435
True,morning,False,1434
True,afternoon,False,1433
True,afternoon,True,5
True,afternoon,False,25
True,afternoon,True,4
True,afternoon,False,1430
True,afternoon,True,11
True,afternoon,False,1426
True,afternoon,False,1438
True,afternoon,False,1437
True,afternoon,True,7
True,afternoon,True,9
True,afternoon,False,42
True,afternoon,True,9
True,afternoon,True,4
True,afternoon,False,1431
True,afternoon,False,1432
True,afternoon,False,1433
True,afternoon,True,6
True,afternoon,False,1435
True,afternoon,False,0
True,afternoon,False,1431
True,afternoon,False,1434
True,afternoon,True,1
True,afternoon,False,1438
True,afternoon,False,1437
True,afternoon,True,1
True,afternoon,False,1437
True,afternoon,False,1436
True,afternoon,False,1437
True,afternoon,False,1428
True,afternoon,True,14
True,evening,False,1434
True,evening,False,1439
True,evening,False,28
True,evening,False,1439
True,evening,False,1439
True,evening,False,1432
True,evening,True,8
True,evening,True,12
True,evening,False,1432
True,evening,False,1437
True,evening,False,37
True,evening,True,4
True,evening,True,7
True,evening,False,1437
True,evening,True,9
True,evening,False,1439
True,evening,False,1436
True,evening,True,3
True,evening,False,1434
True,evening,True,8
True,evening,True,7
True,evening,False,1433
True,evening,False,1438
True,evening,False,1432
True,evening,True,1
True,evening,False,1426
True,evening,False,1430
True,evening,False,1429
True,evening,False,1438
True,morning,False,27
True,morning,True,4
True,morning,False,1438
True,morning,True,15
True,evening,True,1
True,evening,True,3
True,evening,False,22
True,evening,False,26
True,evening,True,4
True,evening,True,14
True,evening,True,7
True,evening,False,87
True,evening,False,1439
True,evening,False,1426
True,evening,False,0
True,evening,False,27
True,evening,True,8
True,evening,True,10
True,evening,True,5
True,evening,True,1
True,evening,False,1431
True,evening,True,15
True,evening,True,1
True,evening,False,21
True,evening,False,1439
True,evening,False,1427
True,evening,False,21
True,evening,False,1435
True,evening,False,1438
True,evening,True,6
True,evening,False,1439
True,evening,False,1438
True,evening,False,1432
True,morning,False,1434
True,morning,True,3
True,morning,False,16
True,afternoon,False,65
True,morning,False,27
True,morning,False,0
True,morning,False,1438
True,morning,True,2
True,morning,False,1438
True,morning,False,1433
True,morning,False,1437
True,morning,False,40
True,morning,True,11
True,morning,False,1437
True,morning,False,16
True,morning,True,13
True,morning,True,1
True,morning,True,13
True,morning,False,1438
True,morning,False,1437
True,morning,False,1433
True,morning,False,28
True,morning,False,0
True,morning,True,5
True,morning,False,1439
True,morning,False,1432
True,morning,True,7
True,morning,False,1431
True,morning,True,3
True,afternoon,False,38
True,afternoon,True,6
True,afternoon,True,2
True,afternoon,False,19
True,afternoon,True,15
True,afternoon,False,27
True,afternoon,False,59
True,afternoon,True,14
True,afternoon,False,1437
True,afternoon,True,14
True,afternoon,False,19
True,afternoon,True,5
True,afternoon,True,13
True,afternoon,False,19
True,afternoon,True,10
True,afternoon,False,37
True,afternoon,False,23
True,afternoon,True,11
True,afternoon,True,7
True,afternoon,True,15
True,afternoon,True,1
True,afternoon,True,15
True,afternoon,False,30
True,afternoon,False,22
True,afternoon,False,37
True,afternoon,True,12
